Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0046390,ribose phosphate biosynthetic process,19_GO:0009987 cellular process,-3,9.1,5.4,30284,165,81,4,4.9,2.4,226|2618|4830|8833,ALDOA|GART|NME1|GMPS,-1,Down
GO Biological Processes,19,GO:0046034,ATP metabolic process,19_GO:0009987 cellular process,-3,9,5.4,30284,166,81,4,4.9,2.4,226|3312|7415|11164,ALDOA|HSPA8|VCP|NUDT5,-1,Down
KEGG Pathway,24,hsa01230,Biosynthesis of amino acids,,-3,15,6.3,30284,75,81,3,3.7,2.1,95|226|2875,ACY1|ALDOA|GPT,-0.99,Down
GO Biological Processes,19,GO:1903578,regulation of ATP metabolic process,19_GO:0050789 regulation of biological process,-2.9,15,6.2,30284,76,81,3,3.7,2.1,351|7114|7415,APP|TMSB4X|VCP,-0.98,Down
GO Biological Processes,19,GO:1901293,nucleoside phosphate biosynthetic process,19_GO:0009987 cellular process,-2.9,6.3,4.8,30284,295,81,5,6.2,2.7,226|2618|4830|7360|8833,ALDOA|GART|NME1|UGP2|GMPS,-0.96,Down
Reactome Gene Sets,6,R-HSA-3371556,Cellular response to heat stress,,-2.9,14,6.1,30284,78,81,3,3.7,2.1,3312|7415|10808,HSPA8|VCP|HSPH1,-0.95,Down
Reactome Gene Sets,6,R-HSA-9663891,Selective autophagy,,-2.9,14,6.1,30284,78,81,3,3.7,2.1,3312|7334|7415,HSPA8|UBE2N|VCP,-0.95,Down
GO Biological Processes,19,GO:0030029,actin filament-based process,19_GO:0009987 cellular process,-2.9,4.2,4.2,30284,616,81,7,8.6,3.1,81|226|5879|7114|7184|9322|10015,ACTN4|ALDOA|RAC1|TMSB4X|HSP90B1|TRIP10|PDCD6IP,-0.92,Down
GO Biological Processes,19,GO:0006164,purine nucleotide biosynthetic process,19_GO:0009987 cellular process,-2.9,8.4,5.1,30284,178,81,4,4.9,2.4,226|2618|4830|8833,ALDOA|GART|NME1|GMPS,-0.91,Down
KEGG Pathway,24,hsa04612,Antigen processing and presentation,,-2.9,14,6,30284,81,81,3,3.7,2.1,2923|3312|5721,PDIA3|HSPA8|PSME2,-0.91,Down
GO Biological Processes,19,GO:0045913,positive regulation of carbohydrate metabolic process,19_GO:0048518 positive regulation of biological process,-2.8,13,5.8,30284,87,81,3,3.7,2.1,351|1950|2875,APP|EGF|GPT,-0.82,Down
GO Biological Processes,19,GO:1900542,regulation of purine nucleotide metabolic process,19_GO:0050789 regulation of biological process,-2.8,13,5.8,30284,87,81,3,3.7,2.1,351|7114|7415,APP|TMSB4X|VCP,-0.82,Down
GO Biological Processes,19,GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,19_GO:0048518 positive regulation of biological process,-2.8,7.9,4.9,30284,190,81,4,4.9,2.4,351|780|1950|6403,APP|DDR1|EGF|SELP,-0.81,Down
GO Biological Processes,19,GO:0006140,regulation of nucleotide metabolic process,19_GO:0050789 regulation of biological process,-2.8,13,5.7,30284,88,81,3,3.7,2.1,351|7114|7415,APP|TMSB4X|VCP,-0.81,Down
WikiPathways,27,WP4263,Pancreatic adenocarcinoma pathway,,-2.8,13,5.7,30284,89,81,3,3.7,2.1,1950|5037|5879,EGF|PEBP1|RAC1,-0.8,Down
KEGG Pathway,24,hsa04662,B cell receptor signaling pathway,,-2.7,12,5.6,30284,91,81,3,3.7,2.1,5879|27071|79168,RAC1|DAPP1|LILRA6,-0.77,Down
WikiPathways,27,WP5355,Metabolic epileptic disorders,,-2.7,12,5.6,30284,92,81,3,3.7,2.1,226|2875|3945,ALDOA|GPT|LDHB,-0.76,Down
GO Biological Processes,19,GO:1905897,regulation of response to endoplasmic reticulum stress,19_GO:0050896 response to stimulus,-2.7,12,5.6,30284,92,81,3,3.7,2.1,351|10961|51060,APP|ERP29|TXNDC12,-0.76,Down
GO Biological Processes,19,GO:2000177,regulation of neural precursor cell proliferation,19_GO:0050789 regulation of biological process,-2.7,12,5.5,30284,93,81,3,3.7,2.1,1950|4673|131405,EGF|NAP1L1|TRIM71,-0.75,Down
GO Biological Processes,19,GO:0045937,positive regulation of phosphate metabolic process,19_GO:0048518 positive regulation of biological process,-2.7,4.6,4.1,30284,493,81,6,7.4,2.9,351|1950|5879|7114|7415|10961,APP|EGF|RAC1|TMSB4X|VCP|ERP29,-0.74,Down
GO Biological Processes,19,GO:0010562,positive regulation of phosphorus metabolic process,19_GO:0048518 positive regulation of biological process,-2.7,4.6,4.1,30284,493,81,6,7.4,2.9,351|1950|5879|7114|7415|10961,APP|EGF|RAC1|TMSB4X|VCP|ERP29,-0.74,Down
GO Biological Processes,19,GO:0006897,endocytosis,19_GO:0051179 localization,-2.6,4.4,4,30284,508,81,6,7.4,2.9,351|2060|4830|5874|9322|90861,APP|EPS15|NME1|RAB27B|TRIP10|JPT2,-0.68,Down
Reactome Gene Sets,6,R-HSA-9748784,Drug ADME,,-2.6,11,5.3,30284,100,81,3,3.7,2.1,95|4830|8833,ACY1|NME1|GMPS,-0.67,Down
GO Biological Processes,19,GO:0030111,regulation of Wnt signaling pathway,19_GO:0050896 response to stimulus,-2.6,5.3,4.2,30284,350,81,5,6.2,2.7,351|1950|7415|8724|8932,APP|EGF|VCP|SNX3|MBD2,-0.67,Down
GO Biological Processes,19,GO:0009165,nucleotide biosynthetic process,19_GO:0009987 cellular process,-2.6,7,4.6,30284,214,81,4,4.9,2.4,226|2618|4830|8833,ALDOA|GART|NME1|GMPS,-0.65,Down
KEGG Pathway,24,hsa05417,Lipid and atherosclerosis,,-2.6,6.9,4.5,30284,216,81,4,4.9,2.4,3312|5879|6403|7184,HSPA8|RAC1|SELP|HSP90B1,-0.63,Down
Canonical Pathways,11,M164,PID ERBB1 DOWNSTREAM PATHWAY,,-2.5,11,5.1,30284,105,81,3,3.7,2.1,1950|5037|5879,EGF|PEBP1|RAC1,-0.62,Down
GO Biological Processes,19,GO:0022612,gland morphogenesis,19_GO:0032502 developmental process,-2.5,11,5.1,30284,105,81,3,3.7,2.1,780|823|4478,DDR1|CAPN1|MSN,-0.62,Down
KEGG Pathway,24,hsa04137,Mitophagy - animal,,-2.5,11,5.1,30284,105,81,3,3.7,2.1,7415|9958|10133,VCP|USP15|OPTN,-0.62,Down
GO Biological Processes,19,GO:0050829,defense response to Gram-negative bacterium,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.5,11,5.1,30284,106,81,3,3.7,2.1,351|6403|10133,APP|SELP|OPTN,-0.61,Down
GO Biological Processes,19,GO:1901222,regulation of non-canonical NF-kappaB signal transduction,19_GO:0050896 response to stimulus,-2.5,10,5.1,30284,107,81,3,3.7,2.1,81|351|7415,ACTN4|APP|VCP,-0.6,Down
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-2.5,4.2,3.9,30284,535,81,6,7.4,2.9,1950|5874|6403|6678|7114|26153,EGF|RAB27B|SELP|SPARC|TMSB4X|KIF26A,-0.58,Down
GO Biological Processes,19,GO:0030162,regulation of proteolysis,19_GO:0050789 regulation of biological process,-2.5,4.2,3.8,30284,538,81,6,7.4,2.9,351|1950|5684|5696|5721|7415,APP|EGF|PSMA3|PSMB8|PSME2|VCP,-0.57,Down
KEGG Pathway,24,hsa04066,HIF-1 signaling pathway,,-2.5,10,5,30284,110,81,3,3.7,2.1,226|1950|3945,ALDOA|EGF|LDHB,-0.57,Down
GO Biological Processes,19,GO:0042176,regulation of protein catabolic process,19_GO:0050789 regulation of biological process,-2.5,5,4,30284,375,81,5,6.2,2.7,351|4478|5721|7415|8724,APP|MSN|PSME2|VCP|SNX3,-0.56,Down
GO Biological Processes,19,GO:0044409,symbiont entry into host,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.4,9.8,4.9,30284,114,81,3,3.7,2.1,2060|3921|90861,EPS15|RPSA|JPT2,-0.53,Down
GO Biological Processes,19,GO:0046718,symbiont entry into host cell,19_GO:0016032 viral process,-2.4,9.8,4.9,30284,114,81,3,3.7,2.1,2060|3921|90861,EPS15|RPSA|JPT2,-0.53,Down
Reactome Gene Sets,6,R-HSA-199991,Membrane Trafficking,,-2.4,4.1,3.8,30284,553,81,6,7.4,2.9,1950|2665|3312|5874|8775|26153,EGF|GDI2|HSPA8|RAB27B|NAPA|KIF26A,-0.52,Down
GO Biological Processes,19,GO:0010594,regulation of endothelial cell migration,19_GO:0040011 locomotion,-2.4,6.3,4.3,30284,236,81,4,4.9,2.4,1950|5879|6678|7114,EGF|RAC1|SPARC|TMSB4X,-0.52,Down
GO Biological Processes,19,GO:0034976,response to endoplasmic reticulum stress,19_GO:0050896 response to stimulus,-2.4,6.3,4.3,30284,236,81,4,4.9,2.4,2923|5034|7184|7415,PDIA3|P4HB|HSP90B1|VCP,-0.52,Down
GO Biological Processes,19,GO:0072522,purine-containing compound biosynthetic process,19_GO:0009987 cellular process,-2.4,6.3,4.3,30284,236,81,4,4.9,2.4,226|2618|4830|8833,ALDOA|GART|NME1|GMPS,-0.52,Down
GO Biological Processes,19,GO:0002685,regulation of leukocyte migration,19_GO:0040011 locomotion,-2.4,6.3,4.3,30284,236,81,4,4.9,2.4,351|4478|5879|6403,APP|MSN|RAC1|SELP,-0.52,Down
KEGG Pathway,24,hsa01200,Carbon metabolism,,-2.4,9.7,4.8,30284,116,81,3,3.7,2.1,39|226|2875,ACAT2|ALDOA|GPT,-0.52,Down
