Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,-2.9,3.2,3.9,21222,119,565,10,1.8,0.55,12268|12870|14268|16000|16007|16010|20254|20701|80752|83453,C4b|Cp|Fn1|Igf1|Ccn1|Igfbp4|Scg2|Serpina1b|Fam20c|Chrdl1,-1.4,Down
GO Biological Processes,19,GO:1902115,regulation of organelle assembly,19_GO:0050789 regulation of biological process,-2.9,2.4,3.6,21222,254,565,16,2.8,0.7,14182|16180|19280|54141|56312|64009|73340|106042|108083|193740|214444|229722|236266|245902|320712|382253,Fgfr1|Il1rap|Ptprs|Spag5|Nupr1|Syne1|Nptxr|Prickle1|Pip4k2b|Hspa1a|Cdk5rap2|Elapor1|Alms1|Ccdc15|Abi3bp|Cdkl5,-1.4,Down
GO Biological Processes,19,GO:0007517,muscle organ development,19_GO:0032502 developmental process,-2.9,2.2,3.5,21222,328,565,19,3.4,0.76,11898|11906|12804|13609|13653|14199|15284|15370|16656|16776|18011|18032|18128|19130|21808|24046|56312|77446|110532,Ass1|Zfhx3|Cntfr|S1pr1|Egr1|Fhl1|Hlx|Nr4a1|Hivep3|Lama5|Neurl1a|Nfix|Notch1|Prox1|Tgfb2|Scn11a|Nupr1|Heg1|Adarb1,-1.4,Down
GO Biological Processes,19,GO:0072175,epithelial tube formation,19_GO:0032502 developmental process,-2.9,2.8,3.8,21222,162,565,12,2.1,0.61,12614|16911|20353|20377|21808|23892|50768|58234|71461|106042|270685|380718,Celsr1|Lmo4|Sema4c|Sfrp1|Tgfb2|Grem1|Dlc1|Shank3|Ptk7|Prickle1|Mthfd1l|Mks1,-1.4,Down
GO Biological Processes,19,GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,19_GO:0048519 negative regulation of biological process,-2.9,2.8,3.8,21222,162,565,12,2.1,0.61,18128|18133|20377|23892|23893|66695|68010|77794|78558|83453|193740|214425,Notch1|Ccn3|Sfrp1|Grem1|Grem2|Aspn|Bambi|Adamtsl2|Htra3|Chrdl1|Hspa1a|Cilp,-1.4,Down
GO Biological Processes,19,GO:0046883,regulation of hormone secretion,19_GO:0051179 localization,-2.9,2.1,3.5,21222,354,565,20,3.5,0.78,11514|13132|14182|14186|14645|14681|16176|16324|16500|16847|18012|18133|18576|19218|23957|52055|110385|216856|233079|245049,Adcy8|Dab2|Fgfr1|Fgfr4|Glul|Gnao1|Il1b|Inhbb|Kcnb1|Lepr|Neurod1|Ccn3|Pde3b|Ptger3|Nr0b2|Rab11fip5|Pde4c|Nlgn2|Ffar2|Myrip,-1.3,Down
GO Biological Processes,19,GO:0021575,hindbrain morphogenesis,19_GO:0032502 developmental process,-2.9,4.2,4.2,21222,63,565,7,1.2,0.47,18032|19130|19883|20720|50768|72393|73750,Nfix|Prox1|Rora|Serpine2|Dlc1|Faim2|Whrn,-1.3,Down
GO Biological Processes,19,GO:0031214,biomineral tissue development,19_GO:0032502 developmental process,-2.9,3.1,3.9,21222,120,565,10,1.8,0.55,14182|16000|16948|18032|18214|21922|66695|68151|80752|106042,Fgfr1|Igf1|Lox|Nfix|Ddr2|Clec3b|Aspn|Wls|Fam20c|Prickle1,-1.3,Down
GO Biological Processes,19,GO:0051492,regulation of stress fiber assembly,19_GO:0050789 regulation of biological process,-2.9,3.4,3.9,21222,100,565,9,1.6,0.53,13609|50768|53814|66214|77569|223864|230837|236266|268396,S1pr1|Dlc1|Oaz3|Rgcc|Limch1|Rapgef3|Asap3|Alms1|Sh3pxd2b,-1.3,Down
KEGG Pathway,24,mmu05410,Hypertrophic cardiomyopathy - Mus musculus (house mouse),,-2.9,3.4,3.9,21222,100,565,9,1.6,0.53,12293|16000|16402|16773|20541|20650|21808|24052|109700,Cacna2d1|Igf1|Itga5|Lama2|Slc8a1|Sntb2|Tgfb2|Sgcd|Itga1,-1.3,Down
