Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
WikiPathways,27,WP4217,Ebola virus infection in host,,-4.3,7.3,6.2,30284,129,225,7,3.1,1.2,998|2060|2316|2318|3655|3690|7879,CDC42|EPS15|FLNA|FLNC|ITGA6|ITGB3|RAB7A,-2.4,down
GO Biological Processes,19,GO:0072524,pyridine-containing compound metabolic process,19_GO:0009987 cellular process,-4.3,7.3,6.2,30284,129,225,7,3.1,1.2,2023|4190|5214|5223|5226|5315|7167,ENO1|MDH1|PFKP|PGAM1|PGD|PKM|TPI1,-2.4,down
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-4.3,3,4.9,30284,754,225,17,7.6,1.8,1465|2316|2923|3611|3690|3937|4067|4478|4627|5530|5777|6469|6813|7094|8440|10672|84959,CSRP1|FLNA|PDIA3|ILK|ITGB3|LCP2|LYN|MSN|MYH9|PPP3CA|PTPN6|SHH|STXBP2|TLN1|NCK2|GNA13|UBASH3B,-2.4,down
WikiPathways,27,WP2272,Pathogenic Escherichia coli infection,,-4.3,12,7.2,30284,55,225,5,2.2,0.98,998|7534|8440|10093|10383,CDC42|YWHAZ|NCK2|ARPC4|TUBB4B,-2.4,down
GO Biological Processes,19,GO:0072526,pyridine-containing compound catabolic process,19_GO:0009987 cellular process,-4.3,12,7.2,30284,55,225,5,2.2,0.98,2023|5214|5223|5315|7167,ENO1|PFKP|PGAM1|PKM|TPI1,-2.4,down
Canonical Pathways,11,M99,PID TXA2PATHWAY,,-4.2,12,7.1,30284,56,225,5,2.2,0.98,1950|2782|4067|8766|10672,EGF|GNB1|LYN|RAB11A|GNA13,-2.3,down
GO Biological Processes,19,GO:0009191,ribonucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-4.2,12,7.1,30284,56,225,5,2.2,0.98,2023|5214|5223|5315|7167,ENO1|PFKP|PGAM1|PKM|TPI1,-2.3,down
GO Biological Processes,19,GO:0046031,ADP metabolic process,19_GO:0009987 cellular process,-4.2,12,7.1,30284,56,225,5,2.2,0.98,2023|5214|5223|5315|7167,ENO1|PFKP|PGAM1|PKM|TPI1,-2.3,down
Canonical Pathways,11,M125,PID IGF1 PATHWAY,,-4.2,19,8.2,30284,29,225,4,1.8,0.88,7531|7534|8440|10399,YWHAE|YWHAZ|NCK2|RACK1,-2.3,down
GO Biological Processes,19,GO:0016482,cytosolic transport,19_GO:0051179 localization,-4.2,7.1,6.1,30284,132,225,7,3.1,1.2,2060|5305|7879|30845|51552|51560|53916,EPS15|PIP4K2A|RAB7A|EHD3|RAB14|RAB6B|RAB4B,-2.3,down
GO Biological Processes,19,GO:0009150,purine ribonucleotide metabolic process,19_GO:0009987 cellular process,-4.2,4.7,5.4,30284,287,225,10,4.4,1.4,271|353|2023|3303|3312|5214|5223|5315|7167|29789,AMPD2|APRT|ENO1|HSPA1A|HSPA8|PFKP|PGAM1|PKM|TPI1|OLA1,-2.3,down
GO Biological Processes,19,GO:0019372,lipoxygenase pathway,19_GO:0009987 cellular process,-4.2,37,10,30284,11,225,3,1.3,0.76,239|242|2876,ALOX12|ALOX12B|GPX1,-2.3,down
GO Biological Processes,19,GO:0010639,negative regulation of organelle organization,19_GO:0048519 negative regulation of biological process,-4.2,4.3,5.3,30284,348,225,11,4.9,1.4,2665|2876|3303|5216|7429|7879|9535|22919|50848|54521|57175,GDI2|GPX1|HSPA1A|PFN1|VIL1|RAB7A|GMFG|MAPRE1|F11R|WDR44|CORO1B,-2.3,down
GO Biological Processes,19,GO:0098869,cellular oxidant detoxification,19_GO:0098754 detoxification,-4.2,8.8,6.5,30284,92,225,6,2.7,1.1,2876|2950|7295|9446|9973|11315,GPX1|GSTP1|TXN|GSTO1|CCS|PARK7,-2.3,down
WikiPathways,27,WP5355,Metabolic epileptic disorders,,-4.2,8.8,6.5,30284,92,225,6,2.7,1.1,2023|4190|5214|5223|5315|7167,ENO1|MDH1|PFKP|PGAM1|PKM|TPI1,-2.3,down
GO Biological Processes,19,GO:0030219,megakaryocyte differentiation,19_GO:0032502 developmental process,-4.2,18,8,30284,30,225,4,1.8,0.88,2316|5305|5777|80739,FLNA|PIP4K2A|PTPN6|MPIG6B,-2.3,down
Canonical Pathways,11,M72,PID NECTIN PATHWAY,,-4.2,18,8,30284,30,225,4,1.8,0.88,998|3690|7094|50848,CDC42|ITGB3|TLN1|F11R,-2.3,down
GO Biological Processes,19,GO:0090330,regulation of platelet aggregation,19_GO:0032501 multicellular organismal process,-4.2,18,8,30284,30,225,4,1.8,0.88,239|4067|50848|84959,ALOX12|LYN|F11R|UBASH3B,-2.3,down
Canonical Pathways,11,M257,PID EPHRINB REV PATHWAY,,-4.2,18,8,30284,30,225,4,1.8,0.88,3674|3690|4067|8440,ITGA2B|ITGB3|LYN|NCK2,-2.3,down
Reactome Gene Sets,6,R-HSA-15869,Metabolism of nucleotides,,-4.2,8.7,6.4,30284,93,225,6,2.7,1.1,271|353|1890|2766|7295|51727,AMPD2|APRT|TYMP|GMPR|TXN|CMPK1,-2.3,down
GO Biological Processes,19,GO:1902850,microtubule cytoskeleton organization involved in mitosis,19_GO:0009987 cellular process,-4.2,7,6,30284,135,225,7,3.1,1.2,2316|3611|8766|10726|22919|51119|55968,FLNA|ILK|RAB11A|NUDC|MAPRE1|SBDS|NSFL1C,-2.3,down
Reactome Gene Sets,6,R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,,-4.1,12,7,30284,58,225,5,2.2,0.98,3326|5700|5701|10383|22919,HSP90AB1|PSMC1|PSMC2|TUBB4B|MAPRE1,-2.3,down
GO Biological Processes,19,GO:0051640,organelle localization,19_GO:0051179 localization,-4.1,3.4,5,30284,551,225,14,6.2,1.6,998|4067|4627|6813|7534|7879|8766|10059|10096|10726|22919|27095|51652|55968,CDC42|LYN|MYH9|STXBP2|YWHAZ|RAB7A|RAB11A|DNM1L|ACTR3|NUDC|MAPRE1|TRAPPC3|CHMP3|NSFL1C,-2.3,down
GO Biological Processes,19,GO:0005996,monosaccharide metabolic process,19_GO:0009987 cellular process,-4.1,5.9,5.7,30284,184,225,8,3.6,1.2,2023|2592|5214|5223|5226|5315|7167|9446,ENO1|GALT|PFKP|PGAM1|PGD|PKM|TPI1|GSTO1,-2.3,down
GO Biological Processes,19,GO:0045862,positive regulation of proteolysis,19_GO:0048518 positive regulation of biological process,-4.1,4.6,5.3,30284,294,225,10,4.4,1.4,1950|2023|3303|4067|4627|5700|5701|6923|9647|10399,EGF|ENO1|HSPA1A|LYN|MYH9|PSMC1|PSMC2|ELOB|PPM1F|RACK1,-2.3,down
GO Biological Processes,19,GO:0044282,small molecule catabolic process,19_GO:0009987 cellular process,-4.1,4.2,5.2,30284,355,225,11,4.9,1.4,2023|2592|3029|5214|5223|5226|5315|5860|5973|7167|11315,ENO1|GALT|HAGH|PFKP|PGAM1|PGD|PKM|QDPR|RENBP|TPI1|PARK7,-2.3,down
GO Biological Processes,19,GO:0009134,nucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-4.1,11,6.9,30284,59,225,5,2.2,0.98,2023|5214|5223|5315|7167,ENO1|PFKP|PGAM1|PKM|TPI1,-2.3,down
